Address,Latitude,Longitude,Name,Risk Category Improved,Violation Description Improved,Avg. Inspection Score,Avg. Rating
1828 Divisadero St,37.78662,-122.43985,Yum Yum Hunan,Moderate Risk,Improper thawing methods,71,3.5
1300 Stockton St,37.79779733,-122.4085515,Yuet Lee,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,88,3.5
2164 Mission St,37.76237,-122.41983,Yucatasia,Low Risk,Unapproved or unmaintained equipment or utensils,83,4
2110 Irving St,37.76356,-122.48067,Yuanbao Jiaozi,Low Risk,Improper storage of equipment utensils or linens,88,4
1460 48th Ave,37.75918,-122.50765,Your Market,Moderate Risk,Moderate risk food holding temperature,96,4.5
94 Judah St,37.76249,-122.462642,You See Sushi,Low Risk,Unclean or degraded floors walls or ceilings,90,3.5
865 Market St,37.78387742,-122.4070404,Yoppi Yogurt & Acai,No Risk,No violation found,100,4
865 Market St,37.78387742,-122.4070404,Yoppi Yogurt & Acai,Moderate Risk,Inadequate and inaccessible handwashing facilities,88,4
865 Market St,37.78387742,-122.4070404,Yoppi Yogurt & Acai,Low Risk,Unapproved or unmaintained equipment or utensils,96,4
865 Market St,37.78387742,-122.4070404,Yoppi Yogurt & Acai,Low Risk,Inadequate ventilation or lighting,78,4
865 Market St,37.78387742,-122.4070404,Yoppi Yogurt & Acai,High Risk,Improper cooling methods,89,4
406 Dewey Blvd,37.74738,-122.45952,Yoji Sushi House,Low Risk,Unclean or degraded floors walls or ceilings,92,4
135 4th St,37.78459432,-122.4035506,Yo-Kai Express,No Risk,No violation found,100,3.5
135 4th St,37.78459432,-122.4035506,Yo-Kai Express,Moderate Risk,Inadequate and inaccessible handwashing facilities,83,3.5
135 4th St,37.78459432,-122.4035506,Yo-Kai Express,Low Risk,Unclean nonfood contact surfaces,90,3.5
318 Pacific Ave,37.79770254,-122.4012355,Yo Yo's,Low Risk,Improper storage of equipment utensils or linens,98,4.5
4794 Mission St,37.72147237,-122.4374393,Yo Soy Café Guatemalteco,Moderate Risk,Moderate risk food holding temperature,90,4.5
2435 Clement St,37.78174,-122.48547,Yiyi's Mandarin Kitchen,Low Risk,Inadequate ventilation or lighting,88,4
5125 Mission St,37.716732,-122.44046,Ying Hui Chinese Restaurant,High Risk,Unclean or unsanitary food contact surfaces,70,2.5
3251 20th Ave,37.72856,-122.47688,Yifang Taiwan Fruit Tea,No Risk,No violation found,100,3.5
3251 20th Ave,37.72856,-122.47688,Yifang Taiwan Fruit Tea,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,84,3.5
3251 20th Ave,37.72856,-122.47688,Yifang Taiwan Fruit Tea,Moderate Risk,Inadequate and inaccessible handwashing facilities,88.33333333,3.5
3251 20th Ave,37.72856,-122.47688,Yifang Taiwan Fruit Tea,Moderate Risk,Foods not protected from contamination,93,3.5
3251 20th Ave,37.72856,-122.47688,Yifang Taiwan Fruit Tea,Low Risk,Unclean or degraded floors walls or ceilings,69,3.5
4701 Mission St,37.72288132,-122.4358292,Yick's Liquors,Low Risk,Inadequate warewashing facilities or equipment,98,4
219 Jones St,37.783259,-122.41267,Yemen Kitchen,Low Risk,Unclean nonfood contact surfaces,83,4.5
1131 Grant Ave,37.79726028,-122.4071274,Yee's Restaurant,High Risk,High risk food holding temperature,72,3.5
1790 Sutter St,37.78673,-122.42978,Yasukochi's Sweet Stop,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,94,4.5
1790 Sutter St,37.78673,-122.42978,Yasukochi's Sweet Stop,Low Risk,Unclean nonfood contact surfaces,90,4.5
101 Spear St,37.79272241,-122.3931266,Yank Sing,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,76,3.5
101 Spear St,37.79272241,-122.3931266,Yank Sing,High Risk,High risk food holding temperature,82,3.5
49 Stevenson St,37.78969645,-122.3994113,Yank Sing,High Risk,High risk food holding temperature,82,3.5
2026 Mission St,37.76449966,-122.4199295,Yangtze Meat and Fish Market,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,96,3.5
57 Columbus Ave,37.796095,-122.404378,Yan's Kitchen,Low Risk,Unapproved or unmaintained equipment or utensils,98,4
2241 Judah St,37.76104,-122.48625,Yan Yan Seafood Restaurant,Moderate Risk,Moderate risk vermin infestation,86,3.5
3406 18th St,37.76194633,-122.4197646,Yamo,High Risk,High risk food holding temperature,83,4
1161 Post St,37.78643799,-122.4208832,YamaSho,Moderate Risk,Noncompliance with shell fish tags or display,81,3.5
1640 Post St,37.7859461,-122.4288918,YakiniQ Cafe,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,82,4
1640 Post St,37.78593063,-122.4288635,Yakiniq,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,82,3
914 Clement St,37.78296,-122.46912,Y & Y Vietnamese Cuisine,Low Risk,Improper storage of equipment utensils or linens,92,3.5
6901 Geary Blvd,37.7793694,-122.4936066,Xpresso Tea,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,94,3.5
754 Columbus Ave,37.80175,-122.41206,XOX Truffles,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,98,4.5
625 Clement St,37.78282866,-122.4658247,Xiao Long Bao,Moderate Risk,Foods not protected from contamination,85,3.5
951 Valencia St,37.75772,-122.42089,Xanath Ice Cream,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,98,4
2271 Union St,37.796753,-122.436631,Wrecking Ball Coffee Roasters,Moderate Risk,Moderate risk food holding temperature,88,4
2271 Union St,37.796753,-122.436631,Wrecking Ball Coffee Roasters,Low Risk,Food safety certificate or food handler card not available,94,4
701 Randolph St,37.7141,-122.46906,Wow Thai Kitchen,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,94,3.5
642 Irving St,37.76427,-122.46497,Wow Naan N Curry,High Risk,High risk vermin infestation,78,3
667 Monterey Blvd,37.73124,-122.45039,World of Noodle/Pho Dong Huong,Moderate Risk,Moderate risk food holding temperature,92,3.5
259 Kearny St,37.79058494,-122.4040487,Working Girls' Cafe,Moderate Risk,Moderate risk food holding temperature,87,4
1528 Fillmore St,37.78375,-122.43249,Woori Food Market,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,82,4.5
2255 Polk St,37.7976772,-122.4224784,Woods Polk Station,Moderate Risk,Inadequate and inaccessible handwashing facilities,96,4.5
4045 Judah St,37.76030423,-122.5055767,Woods Outbound,No Risk,No violation found,100,4
3801 18th St,37.76108,-122.42852,Woods Cervecería,No Risk,No violation found,100,4
203 Folsom St,37.789041,-122.392012,Woodlands Market,Moderate Risk,Foods not protected from contamination,89,3
1914 Fillmore St,37.78742,-122.43327,Woodhouse Fish Company,Moderate Risk,Inadequate and inaccessible handwashing facilities,94,4
1914 Fillmore St,37.78742,-122.43327,Woodhouse Fish Company,Low Risk,Unapproved or unmaintained equipment or utensils,90,4
2073 Market St,37.76766159,-122.4284421,Woodhouse Fish,Moderate Risk,Inadequate and inaccessible handwashing facilities,94,4
2172 Market St,37.76661828,-122.4302628,Wooden Spoon,Low Risk,Unclean unmaintained or improperly constructed toilet facilities,96,4.5
862 Cole St,37.7660025,-122.4498382,Wooden Coffeehouse,No Risk,No violation found,100,4
4611 Geary Blvd,37.780608,-122.4689096,Wooden Charcoal Korean Village Barbecue House,Low Risk,Unapproved or unmaintained equipment or utensils,94,3.5
500 Haight St,37.7722702,-122.4308395,Wonderland Restaurant,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,85,4
2035 Irving St,37.7633253,-122.479963,Wonderful Dessert & Cafe,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,92,4
1325 Noriega St,37.7540126,-122.4781376,Won-Ton-House,High Risk,High risk food holding temperature,81,3.5
700 Monterey Blvd,37.73180771,-122.4512939,Won Kok Restaurant,Low Risk,Unclean or degraded floors walls or ceilings,80,3
1220 16th St,37.766378,-122.3986327,Wolfes Lunch,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,66,4
560 Balboa St,37.77741,-122.46481,Wok This Way,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,90,4
1307 Sutter St,37.787384,-122.422165,Wok Shop Cafe,Moderate Risk,Improper thawing methods,90,4
2700 24th St,37.75315,-122.40669,Wok & Go,Low Risk,Unclean nonfood contact surfaces,84,3
901 Geary St,37.785816,-122.418289,Woerner's Liquors,Low Risk,Low risk vermin infestation,98,3
863 Washington St,37.7948499,-122.40759,Wo Chong Company,Moderate Risk,Insufficient hot water or running water,79,4
3150 24th St,37.75251839,-122.4153407,Wise Sons Jewish Delicatessen,Low Risk,Unclean or degraded floors walls or ceilings,94,3.5
Pier 39,37.80899989,-122.4102527,Wipeout Bar & Grill,No Risk,No violation found,100,3.5
Pier 39,37.80899989,-122.4102527,Wipeout Bar & Grill,Low Risk,Unapproved or unmaintained equipment or utensils,94,3.5
Pier 39,37.80899989,-122.4102527,Wipeout Bar & Grill,Low Risk,Improper storage use or identification of toxic substances,96,3.5
Pier 39,37.80899989,-122.4102527,Wipeout Bar & Grill,Low Risk,Improper food storage,98,3.5
550 Montgomery St,37.7944838,-122.4029129,Wingtip,High Risk,Unclean or unsanitary food contact surfaces,83,4
422 Haight St,37.77249,-122.42926,Wing Wings,Moderate Risk,Inadequate and inaccessible handwashing facilities,92,3.5
1150 Polk St,37.78748766,-122.4199784,Wing Lum Cafe,Low Risk,Inadequate ventilation or lighting,86,3.5
503 Clement St,37.7828,-122.46459,Wing Lee Bakery,Low Risk,Unapproved or unmaintained equipment or utensils,82,4
2550 San Bruno Ave,37.72932434,-122.4046631,Wing Hing,Low Risk,Unclean nonfood contact surfaces,64,3.5
Pier 39,37.810344,-122.410325,Wines of California Wine Bar,No Risk,No violation found,100,3.5
Pier 39,37.810344,-122.410325,Wines of California Wine Bar,Moderate Risk,Inadequate and inaccessible handwashing facilities,92,3.5
Pier 39,37.810344,-122.410325,Wines of California Wine Bar,Low Risk,Unapproved or unmaintained equipment or utensils,94,3.5
Pier 39,37.810344,-122.410325,Wines of California Wine Bar,Low Risk,Improper storage use or identification of toxic substances,96,3.5
Pier 39,37.810344,-122.410325,Wines of California Wine Bar,Low Risk,Improper food storage,98,3.5
507 Divisadero St,37.77434921,-122.4379959,Wine Kitchen,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,91,4
1870 Fillmore St,37.78675775,-122.4333348,Wine Jar,High Risk,Unclean or unsanitary food contact surfaces,87,3.5
685 Folsom St,37.78408361,-122.3983133,Wine Down,Low Risk,Low risk vermin infestation,96,4.5
30 Steuart St,37.79418945,-122.3944168,Wine & Wall,Moderate Risk,Moderate risk vermin infestation,96,4
3040 Taraval St,37.74217,-122.49901,Win's Restaurant,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,83,3.5
2794 Diamond St,37.7346533,-122.4338679,Win Garden,Moderate Risk,Employee eating or smoking,86,4
2198 Market St,37.76627809,-122.4308497,Willkommen,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,96,4.5
340 Post St,37.78869629,-122.4074707,Williams-Sonoma,Moderate Risk,Moderate risk vermin infestation,92,3.5
340 Post St,37.78869629,-122.4074707,Williams-Sonoma,Moderate Risk,Inadequate and inaccessible handwashing facilities,96,3.5
2253 Polk St,37.7976,-122.42237,William Cross Wine Merchants & Wine Bar,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,96,4.5
411 Sansome St,37.79411,-122.40169,Wildflower Cafe,Moderate Risk,Inadequate and inaccessible handwashing facilities,77,3.5
424 Cortland Ave,37.73888779,-122.4171753,Wild Side West,High Risk,Contaminated or adulterated food,91,4
3601 26th St,37.74871,-122.4215,Wild Pepper,Moderate Risk,Foods not protected from contamination,77,3.5
601 Mission Bay Blvd N,37.770882,-122.393249,Wicked Star,Moderate Risk,Moderate risk food holding temperature,96,4
289 8th St,37.7752828,-122.410181,Wicked Grounds,Low Risk,Unclean or degraded floors walls or ceilings,94,4
299 Divisadero St,37.772099,-122.437389,Wholesome Bakery,Moderate Risk,Moderate risk food holding temperature,92,3.5
450 Rhode Island St,37.76437,-122.402715,Whole Foods Market Steep Brew,No Risk,No violation found,100,3.5
450 Rhode Island St,37.76437,-122.402715,Whole Foods Market Steep Brew,Moderate Risk,Inadequate and inaccessible handwashing facilities,96,3.5
450 Rhode Island St,37.76437,-122.402715,Whole Foods Market Steep Brew,High Risk,Unclean hands or improper use of gloves,79,3.5
3950 24th St,37.75191303,-122.4308848,Whole Foods Market,No Risk,No violation found,100,3
3950 24th St,37.75191303,-122.4308848,Whole Foods Market,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,88,3
3950 24th St,37.75191303,-122.4308848,Whole Foods Market,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,98,3
3950 24th St,37.75191303,-122.4308848,Whole Foods Market,Low Risk,Unclean or degraded floors walls or ceilings,96,3
3950 24th St,37.75191303,-122.4308848,Whole Foods Market,Low Risk,Unapproved or unmaintained equipment or utensils,92,3
3950 24th St,37.75191303,-122.4308848,Whole Foods Market,High Risk,Unclean hands or improper use of gloves,79,3
1765 California St,37.789929,-122.423398,Whole Foods Market,No Risk,No violation found,100,3
1765 California St,37.789929,-122.423398,Whole Foods Market,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,88,3
1765 California St,37.789929,-122.423398,Whole Foods Market,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,98,3
1765 California St,37.789929,-122.423398,Whole Foods Market,Low Risk,Unclean or degraded floors walls or ceilings,96,3
1765 California St,37.789929,-122.423398,Whole Foods Market,Low Risk,Unapproved or unmaintained equipment or utensils,90,3
1765 California St,37.789929,-122.423398,Whole Foods Market,High Risk,Unclean hands or improper use of gloves,86.33333333,3
690 Stanyan St,37.76951678,-122.4528325,Whole Foods Market,No Risk,No violation found,100,2.5
690 Stanyan St,37.76951678,-122.4528325,Whole Foods Market,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,88,2.5
690 Stanyan St,37.76951678,-122.4528325,Whole Foods Market,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,98,2.5
690 Stanyan St,37.76951678,-122.4528325,Whole Foods Market,Low Risk,Unclean or degraded floors walls or ceilings,96,2.5
690 Stanyan St,37.76951678,-122.4528325,Whole Foods Market,Low Risk,Unapproved or unmaintained equipment or utensils,91,2.5
690 Stanyan St,37.76951678,-122.4528325,Whole Foods Market,High Risk,Unclean hands or improper use of gloves,79,2.5
100 1st St,37.789152,-122.3981231,Whole Cakes,Low Risk,Unclean or degraded floors walls or ceilings,89,4
600 Polk St,37.78240778,-122.4187717,Whitechapel SF,Moderate Risk,Inadequate and inaccessible handwashing facilities,81,4
845 Bush St,37.78956604,-122.4112091,White Swan Inn,Moderate Risk,Moderate risk food holding temperature,94,4
1524 Silver Ave,37.7321,-122.40595,White Palace Liquor Store,Low Risk,Unapproved or unmaintained equipment or utensils,94,4.5
1010 Bryant St,37.77241135,-122.4075012,Whipped by SO,Low Risk,Low risk vermin infestation,85,5
1782 Haight St,37.7695304,-122.4515775,What The Cluck,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,85,4.5
3251 20th Ave,37.72856,-122.47688,Wetzel's Pretzels,No Risk,No violation found,100,3.5
3251 20th Ave,37.72856,-122.47688,Wetzel's Pretzels,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,84,3.5
3251 20th Ave,37.72856,-122.47688,Wetzel's Pretzels,Moderate Risk,Inadequate and inaccessible handwashing facilities,88.33333333,3.5
3251 20th Ave,37.72856,-122.47688,Wetzel's Pretzels,Moderate Risk,Foods not protected from contamination,93,3.5
3251 20th Ave,37.72856,-122.47688,Wetzel's Pretzels,Low Risk,Unclean or degraded floors walls or ceilings,69,3.5
3251 20th Ave,37.72856,-122.47688,Wetzel's Pretzels,Low Risk,Unapproved or unmaintained equipment or utensils,87,3.5
2036 Lombard St,37.8002,-122.43556,Westwood,Low Risk,Unclean unmaintained or improperly constructed toilet facilities,96,4
865 Market St,37.783747,-122.406857,Westfield San Francisco Centre,No Risk,No violation found,100,3.5
865 Market St,37.783747,-122.406857,Westfield San Francisco Centre,Moderate Risk,Inadequate and inaccessible handwashing facilities,88,3.5
865 Market St,37.783747,-122.406857,Westfield San Francisco Centre,Low Risk,Unapproved or unmaintained equipment or utensils,96,3.5
865 Market St,37.783747,-122.406857,Westfield San Francisco Centre,Low Risk,Inadequate ventilation or lighting,78,3.5
865 Market St,37.783747,-122.406857,Westfield San Francisco Centre,High Risk,Improper cooling methods,89,3.5
4099 Judah St,37.7602199,-122.50573,Western Sunset Market,No Risk,No violation found,100,4.5
550 Valencia St,37.76402,-122.4221,West of Pecos,Moderate Risk,Moderate risk food holding temperature,90,4
2165 Union St,37.7970139,-122.4349293,West Coast Wine Cheese,Low Risk,Permit license or inspection report not posted,96,4
2240 Mission St,37.76119859,-122.4195013,WesBurger 'N' More,High Risk,High risk vermin infestation,78,4
1141 Folsom St,37.77588,-122.40854,Welcome Supermarket,Low Risk,Food safety certificate or food handler card not available,92,2
2301 Market St,37.76362991,-122.4333115,Weaver's Coffee & Tea,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,88,4.5
2301 Market St,37.76362991,-122.4333115,Weaver's Coffee & Tea,Low Risk,Unapproved or unmaintained equipment or utensils,96,4.5
1071 Valencia St,37.75585,-122.42066,We Be Sushi,Low Risk,Unclean unmaintained or improperly constructed toilet facilities,90,3.5
1071 Valencia St,37.75585,-122.42066,We Be Sushi,Low Risk,Unclean nonfood contact surfaces,96,3.5
538 Valencia St,37.76426,-122.42212,We Be Sushi,Low Risk,Unclean unmaintained or improperly constructed toilet facilities,90,3.5
538 Valencia St,37.76426,-122.42212,We Be Sushi,Low Risk,Unclean nonfood contact surfaces,96,3.5
992 Market St,37.78241096,-122.4103083,Waystone,No Risk,No violation found,100,4.5
1407 Van Ness Ave,37.788708,-122.422174,Wayo Sushi,Low Risk,Unclean nonfood contact surfaces,96,4
558 Sacramento St,37.79394849,-122.402308,Wayfare Tavern,Low Risk,Improper storage of equipment utensils or linens,83,4
2801 Leavenworth St,37.807182,-122.419129,Waterfront Bakery,Moderate Risk,Moderate risk food holding temperature,90,3.5
2801 Leavenworth St,37.807182,-122.419129,Waterfront Bakery,Moderate Risk,Insufficient hot water or running water,94,3.5
399 The Embarcadero,37.790503,-122.389042,Waterbar,Low Risk,Unclean or degraded floors walls or ceilings,92,3.5
1660 Stockton St,37.8012619,-122.4091034,Washington Square Inn,Low Risk,Food safety certificate or food handler card not available,98,3.5
733 Washington St,37.7950722,-122.4059372,Washington Bakery & Restaurant,Low Risk,Food safety certificate or food handler card not available,87,3.5
524 Castro St,37.7604103,-122.4351501,Wasabi Bistro,Moderate Risk,Inadequate and inaccessible handwashing facilities,90,4
307 Church St,37.76595,-122.42852,Warakubune Sushi,Low Risk,Unapproved or unmaintained equipment or utensils,87,4
1638 Post St,37.78576031,-122.4287713,Waraku,Low Risk,Improper food storage,90,4
1612 Ocean Ave,37.7248,-122.45931,Wang Wah,Low Risk,Inadequate dressing rooms or improper storage of personal items,96,4
2642 Ocean Ave,37.7321815,-122.4737625,Wang Dae Bak,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,92,3.5
2152 Mission St,37.76251984,-122.4197083,Wan Kee Restaurant,Moderate Risk,Moderate risk vermin infestation,75,4
211 Clement St,37.78283,-122.46148,Wako Japanese Restaurant,Low Risk,Unapproved or unmaintained equipment or utensils,98,4.5
1476 Haight St,37.7701539,-122.446699,Wake Cup,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,94,5
Pier 39,37.80938674,-122.4101327,Waffle Cone Shop,No Risk,No violation found,100,3.5
Pier 39,37.80938674,-122.4101327,Waffle Cone Shop,Low Risk,Unapproved or unmaintained equipment or utensils,94,3.5
Pier 39,37.80938674,-122.4101327,Waffle Cone Shop,Low Risk,Improper storage use or identification of toxic substances,96,3.5
Pier 39,37.80938674,-122.4101327,Waffle Cone Shop,Low Risk,Improper food storage,98,3.5
5454 Geary Blvd,37.78067,-122.47802,Volcano,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,89,4
456 Haight St,37.77246169,-122.4297849,Volare Pizza,Moderate Risk,Moderate risk food holding temperature,82,3.5
3611 California St,37.786136,-122.4536699,Vixi,Moderate Risk,Moderate risk vermin infestation,87,4
4026 24th St,37.75163,-122.43261,Vive La Tarte,No Risk,No violation found,100,4.5
4026 24th St,37.75163,-122.43261,Vive La Tarte,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager,96,4.5
1160 Howard St,37.7769811,-122.4109073,Vive La Tarte,No Risk,No violation found,100,4.5
1160 Howard St,37.7769811,-122.4109073,Vive La Tarte,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager,96,4.5
2420 Lombard St,37.799287,-122.441485,Viva Goa,Low Risk,Improper storage use or identification of toxic substances,87,4
1044 Grant Ave,37.79661,-122.40659,Vital Tea Leaf,Low Risk,Unapproved or unmaintained equipment or utensils,98,4.5
1044 Grant Ave,37.79661,-122.40659,Vital Tea Leaf,Low Risk,Food safety certificate or food handler card not available,96,4.5
671 Broadway,37.7975,-122.408042,VIP Coffee & Cake Shop,Low Risk,Improper food storage,85,3.5
2301 Clement St,37.78181,-122.48396,Violet's,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,85,3.5
629 Cortland Ave,37.73913,-122.41538,VinoRosso,Low Risk,Unapproved or unmaintained equipment or utensils,98,4
1 Clement St,37.7830448,-122.4592566,Village Pizzeria,Low Risk,Unapproved or unmaintained equipment or utensils,90,3.5
1 Clement St,37.7830448,-122.4592566,Village Pizzeria,High Risk,Unclean or unsanitary food contact surfaces,91,3.5
1 Ferry Bldg,37.7955255,-122.3934414,Village Market,Low Risk,Unclean or degraded floors walls or ceilings,94,4
3398 Balboa St,37.77603,-122.49492,Village House,Moderate Risk,Moderate risk food holding temperature,79,4
27 Hotaling Pl,37.79602,-122.40288,Villa Taverna,Low Risk,Improper storage of equipment utensils or linens,94,4.5
3251 20th Ave,37.72856,-122.47688,Villa Italian Kitchen,No Risk,No violation found,100,2.5
3251 20th Ave,37.72856,-122.47688,Villa Italian Kitchen,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,84,2.5
3251 20th Ave,37.72856,-122.47688,Villa Italian Kitchen,Moderate Risk,Inadequate and inaccessible handwashing facilities,88.33333333,2.5
3251 20th Ave,37.72856,-122.47688,Villa Italian Kitchen,Moderate Risk,Foods not protected from contamination,93,2.5
3251 20th Ave,37.72856,-122.47688,Villa Italian Kitchen,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer,94,2.5
3251 20th Ave,37.72856,-122.47688,Villa Italian Kitchen,Low Risk,Unclean or degraded floors walls or ceilings,69,2.5
2623 Ocean Ave,37.731659,-122.473576,Villa D'este,Low Risk,Unapproved or unmaintained equipment or utensils,92,3
2906 Diamond St,37.73360613,-122.4341891,Viking's Giant Submarines,Low Risk,Unclean or degraded floors walls or ceilings,90,4
1418 Lombard St,37.8013798,-122.4250627,Viking's Giant Submarines,Moderate Risk,Foods not protected from contamination,86,4
642 Eddy St,37.78347,-122.41828,Vietnam House Restaurant,Low Risk,Unclean or degraded floors walls or ceilings,66,3.5
1431 Stockton St,37.79887,-122.4091,Vieni Vieni Lucky Spot,Moderate Risk,Inadequate and inaccessible handwashing facilities,94,4
360 Ritch St,37.77882,-122.39406,Victory Hall & Parlor,Moderate Risk,Inadequate and inaccessible handwashing facilities,96,3.5
700 Filbert St,37.80135,-122.41129,Victoria Pastry,Low Risk,Unclean or degraded floors walls or ceilings,96,4
1411 Polk St,37.78991,-122.42073,Victor's Pizzeria & Italian Restaurant,Low Risk,Low risk vermin infestation,94,4
2244 Fillmore St,37.79047775,-122.433876,Via Veneto,Moderate Risk,Moderate risk vermin infestation,94,4
2101 Market St,37.76715431,-122.4291039,Verve Coffee Roasters,Moderate Risk,Inadequate and inaccessible handwashing facilities,96,4
700 Clement St,37.78288736,-122.4668347,Venus Cafe,Low Risk,Unapproved or unmaintained equipment or utensils,88,3
1257 Taylor St,37.79414,-122.41323,Venticello Ristorante,Moderate Risk,Moderate risk vermin infestation,96,4
5228 Mission St,37.715313,-122.4421183,Venice Pizza,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces,88,3
443 Valencia St,37.765913,-122.421848,Venga Empanadas,High Risk,Improper cooling methods,91,3.5
