Address,Alias (Businesses),Alias (Businesses.Categories),Calculation1,Calculation2,Risk Category Improved,address_health_lower,yelp_address,City,Country,Display Address,Display Phone,Distance,Id,Image Url,Is Closed,Latitude,Latitude (Region.Center),Longitude,Longitude (Region.Center),Name,Phone,Price1,Rating,Review Count,Violation Description Improved,State,Table Names,Title,Total,Transactions,Url,Zip Code,Business Name Lower,Business Address,Business City,Business Id,Business Name,Business Phone Number,Business Postal Code,Business State,businesses Index (generated),categories Index (generated),Display Name Lower,Inspection Date,Inspection Id,Inspection Score,Inspection Type,Risk Category,transactions Index (generated),Violation Description,Violation Id
900 Pine St,rue-lepic-san-francisco,french,,,No Risk,900 pine st,900 pine st,San Francisco,US,900 Pine St,(415) 474-6070,4031.971953,mNFQuOA_hhrqmJeHg-AzKA,https://s3-media4.fl.yelpcdn.com/bphoto/_hoETBS07SbSStI8kJ3eZg/o.jpg,FALSE,37.7909867,37.76089939,-122.4108429,-122.4364471,Rue Lepic,14154746070,$$$,4,313,No violation found,CA,"SF Data Restaurant Scores.xlsx/Restaurant_Scores_-_LIVES_Stand,yelp_data_final.xlsx/yelp_data_final",French,3,delivery,https://www.yelp.com/biz/rue-lepic-san-francisco?adjust_creative=GO4ydstg2mCycanD76Qkrw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GO4ydstg2mCycanD76Qkrw,94108,rue lepic,900 Pine St,San Francisco,108,Rue Lepic,,94108,CA,1,1,rue lepic,6/3/19,108_20190603,100,Routine - Unscheduled,,1,,
391 Broadway,centerfolds-san-francisco,cabaret,,,No Risk,391 broadway st,391 broadway,San Francisco,US,391 Broadway,(415) 834-0662,5041.807703,6Ki5PvDCebTkCRkGEXD1qw,https://s3-media1.fl.yelpcdn.com/bphoto/CdRhcByQf8fX80I1a1HjjA/o.jpg,FALSE,37.79809607,37.76089939,-122.4036411,-122.4364471,Centerfolds,14158340662,$$,3.5,164,No violation found,CA,"SF Data Restaurant Scores.xlsx/Restaurant_Scores_-_LIVES_Stand,yelp_data_final.xlsx/yelp_data_final",Cabaret,1,,https://www.yelp.com/biz/centerfolds-san-francisco?adjust_creative=GO4ydstg2mCycanD76Qkrw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GO4ydstg2mCycanD76Qkrw,94133,centerfolds,391 Broadway St,San Francisco,125,Centerfolds,,94133,CA,1,1,centerfolds,5/29/19,125_20190529,100,Routine - Unscheduled,,,,
149 New Montgomery St,cafe-madeleine-san-francisco-3,bakeries,,,Moderate Risk,300 california st,149 new montgomery st,San Francisco,US,149 New Montgomery St,(415) 227-4077,4340.560654,gBuLECbmaxvxQX9y90EZSA,https://s3-media2.fl.yelpcdn.com/bphoto/2r9pR1O27pcJP0TcG2LrmQ/o.jpg,FALSE,37.78694783,37.76089939,-122.3996656,-122.4364471,Cafe Madeleine,14152274077,$,4,476,Insufficient hot water or running water,CA,"SF Data Restaurant Scores.xlsx/Restaurant_Scores_-_LIVES_Stand,yelp_data_final.xlsx/yelp_data_final",Bakeries,97,delivery,https://www.yelp.com/biz/cafe-madeleine-san-francisco-3?adjust_creative=GO4ydstg2mCycanD76Qkrw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GO4ydstg2mCycanD76Qkrw,94105,cafe madeleine,300 California St,San Francisco,140,Cafe Madeleine,,94104,CA,1,1,cafe madeleine,6/12/19,140_20190612,79,Routine - Unscheduled,Moderate Risk,1,Insufficient hot water or running water,140_20190612_103129
609 Cole St,cafe-cole-san-francisco-6,coffee,,,Moderate Risk,609 cole st,609 cole st,San Francisco,US,609 Cole St,(415) 668-7771,1569.167308,po_SEkDkaDLXkBNY4H6Qaw,https://s3-media2.fl.yelpcdn.com/bphoto/KEAYaBwNWlzKdc5ZhiFd_Q/o.jpg,FALSE,37.7692677,37.76089939,-122.450821,-122.4364471,Cafe Cole,14156687771,$,3.5,168,Moderate risk vermin infestation,CA,"SF Data Restaurant Scores.xlsx/Restaurant_Scores_-_LIVES_Stand,yelp_data_final.xlsx/yelp_data_final",Coffee & Tea,475,delivery,https://www.yelp.com/biz/cafe-cole-san-francisco-6?adjust_creative=GO4ydstg2mCycanD76Qkrw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GO4ydstg2mCycanD76Qkrw,94117,cafe cole,609 Cole St,San Francisco,155,CAFE COLE,14155667771,94117,CA,1,1,cafe cole,6/17/19,155_20190617,86,Routine - Unscheduled,Moderate Risk,1,Moderate risk vermin infestation,155_20190617_103131
513 Parnassus Ave,ladle-and-leaf-san-francisco-14,salad,,,Moderate Risk,"50 post st, 3rd floor",513 parnassus ave,San Francisco,US,513 Parnassus Ave,(415) 592-9524,1931.806185,ZLE2iuvva7kdA54b-YDPvw,https://s3-media2.fl.yelpcdn.com/bphoto/G3WaMlEBuA9VdZ0I4S4u9w/o.jpg,FALSE,37.7633188,37.76089939,-122.4580416,-122.4364471,Ladle & Leaf,14155929524,$,3,41,Moderate risk food holding temperature,CA,"SF Data Restaurant Scores.xlsx/Restaurant_Scores_-_LIVES_Stand,yelp_data_final.xlsx/yelp_data_final",Salad,72,pickup,https://www.yelp.com/biz/ladle-and-leaf-san-francisco-14?adjust_creative=GO4ydstg2mCycanD76Qkrw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GO4ydstg2mCycanD76Qkrw,94143,ladle & leaf,"50 Post St, 3rd Floor",San Francisco,164,Ladle & Leaf,,94104,CA,1,1,ladle & leaf,8/13/19,164_20190813,96,Routine - Unscheduled,Moderate Risk,1,Moderate risk food holding temperature,164_20190813_103120
2375 Market St,subway-san-francisco-142,sandwiches,,,Low Risk,3801 03rd st 310,2375 market st,San Francisco,US,2375 Market St,(415) 861-5006,288.6394829,Qy9Tp4FJAchraTg2CipGYQ,https://s3-media2.fl.yelpcdn.com/bphoto/czaFhbjCXoPN6MYynFrfAQ/o.jpg,FALSE,37.762936,37.76089939,-122.4344113,-122.4364471,Subway,14158615006,$,2.5,47,Food safety certificate or food handler card not available,CA,"SF Data Restaurant Scores.xlsx/Restaurant_Scores_-_LIVES_Stand,yelp_data_final.xlsx/yelp_data_final",Sandwiches,999,pickup,https://www.yelp.com/biz/subway-san-francisco-142?adjust_creative=GO4ydstg2mCycanD76Qkrw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GO4ydstg2mCycanD76Qkrw,94114,subway,3801 03rd St 310,San Francisco,198,SUBWAY,,94124,CA,1,1,subway,11/29/17,198_20171129,94,Routine - Unscheduled,Low Risk,1,Food safety certificate or food handler card not available,198_20171129_103157
77 Van Ness Ave,subway-san-francisco-131,sandwiches,,,Low Risk,3801 03rd st 310,77 van ness ave,San Francisco,US,77 Van Ness Ave,(415) 255-8929,2229.442439,qDjjbKNlkmkmG5_Y9AuB5g,https://s3-media2.fl.yelpcdn.com/bphoto/psvXuZB9n0H6VquX20CIbg/o.jpg,FALSE,37.77598957,37.76089939,-122.4197466,-122.4364471,Subway,14152558929,$,3,36,Food safety certificate or food handler card not available,CA,"SF Data Restaurant Scores.xlsx/Restaurant_Scores_-_LIVES_Stand,yelp_data_final.xlsx/yelp_data_final",Sandwiches,665,delivery,https://www.yelp.com/biz/subway-san-francisco-131?adjust_creative=GO4ydstg2mCycanD76Qkrw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GO4ydstg2mCycanD76Qkrw,94102,subway,3801 03rd St 310,San Francisco,198,SUBWAY,,94124,CA,1,1,subway,11/29/17,198_20171129,94,Routine - Unscheduled,Low Risk,1,Food safety certificate or food handler card not available,198_20171129_103157
750 Font Blvd,subway-san-francisco-43,sandwiches,,,Low Risk,3801 03rd st 310,750 font blvd,San Francisco,US,750 Font Blvd,(415) 405-3499,5815.970575,i_4AFwXRub4_B7tSN2XEAw,https://s3-media4.fl.yelpcdn.com/bphoto/sd1ilkJe-LGQTNHxRIw6Cg/o.jpg,FALSE,37.72315802,37.76089939,-122.4822406,-122.4364471,Subway,14154053499,$,2.5,69,Food safety certificate or food handler card not available,CA,"SF Data Restaurant Scores.xlsx/Restaurant_Scores_-_LIVES_Stand,yelp_data_final.xlsx/yelp_data_final",Sandwiches,1,delivery,https://www.yelp.com/biz/subway-san-francisco-43?adjust_creative=GO4ydstg2mCycanD76Qkrw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GO4ydstg2mCycanD76Qkrw,94132,subway,3801 03rd St 310,San Francisco,198,SUBWAY,,94124,CA,1,1,subway,11/29/17,198_20171129,94,Routine - Unscheduled,Low Risk,1,Food safety certificate or food handler card not available,198_20171129_103157
400 Cortland Ave,progressive-grounds-san-francisco,coffee,,,Moderate Risk,400 cortland ave,400 cortland ave,San Francisco,US,400 Cortland Ave,(415) 282-6233,2937.813016,IoNI0QWbinqdphW6EnATog,https://s3-media1.fl.yelpcdn.com/bphoto/-6sE6rx7tgnN1nb2k4Etgg/o.jpg,FALSE,37.73895,37.76089939,-122.41769,-122.4364471,Progressive Grounds,14152826233,$$,4,361,Foods not protected from contamination,CA,"SF Data Restaurant Scores.xlsx/Restaurant_Scores_-_LIVES_Stand,yelp_data_final.xlsx/yelp_data_final",Coffee & Tea,316,delivery,https://www.yelp.com/biz/progressive-grounds-san-francisco?adjust_creative=GO4ydstg2mCycanD76Qkrw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GO4ydstg2mCycanD76Qkrw,94110,progressive grounds,400 CORTLAND Ave,San Francisco,217,PROGRESSIVE GROUNDS,,94110,CA,1,1,progressive grounds,4/22/19,217_20190422,88,Routine - Unscheduled,Moderate Risk,1,Foods not protected from contamination,217_20190422_103133
125 Vallejo St,grumpys-american-pub-san-francisco,pubs,,,Moderate Risk,125 vallejo st,125 vallejo st,San Francisco,US,125 Vallejo St,(415) 434-3350,5323.583641,F9XZP_O1niMoRUgkj3AUGA,https://s3-media1.fl.yelpcdn.com/bphoto/bDn863ciPKGTtiHq4eodiA/o.jpg,FALSE,37.79948,37.76089939,-122.40057,-122.4364471,Grumpy's American Pub,14154343350,$$,3.5,336,Foods not protected from contamination,CA,"SF Data Restaurant Scores.xlsx/Restaurant_Scores_-_LIVES_Stand,yelp_data_final.xlsx/yelp_data_final",Pubs,85,pickup,https://www.yelp.com/biz/grumpys-american-pub-san-francisco?adjust_creative=GO4ydstg2mCycanD76Qkrw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GO4ydstg2mCycanD76Qkrw,94111,grumpy's american pub,125 Vallejo St,San Francisco,226,Grumpy's American Pub,,94111,CA,1,1,grumpy's american pub,9/5/19,226_20190905,74,Routine - Unscheduled,Moderate Risk,1,Foods not protected from contamination,226_20190905_103133
3639 Balboa St,miki-restaurant-san-francisco,ramen,,,High Risk,3639 balboa st,3639 balboa st,San Francisco,US,3639 Balboa St,(415) 387-0874,5646.347982,ydRU8jEKxt0X5PQdP4VdRQ,https://s3-media3.fl.yelpcdn.com/bphoto/CTeUtFxmiwVsXXbyguWwkA/o.jpg,FALSE,37.77547,37.76089939,-122.49795,-122.4364471,Miki Restaurant,14153870874,$$,4,489,Improper cooling methods,CA,"SF Data Restaurant Scores.xlsx/Restaurant_Scores_-_LIVES_Stand,yelp_data_final.xlsx/yelp_data_final",Ramen,57,delivery,https://www.yelp.com/biz/miki-restaurant-san-francisco?adjust_creative=GO4ydstg2mCycanD76Qkrw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GO4ydstg2mCycanD76Qkrw,94121,miki restaurant,3639 BALBOA St,San Francisco,240,MIKI RESTAURANT,,94121,CA,1,1,miki restaurant,4/24/19,240_20190424,85,Routine - Unscheduled,High Risk,1,Improper cooling methods,240_20190424_103105
1581 Webster St,on-the-bridge-san-francisco,japacurry,,,Moderate Risk,1581 webster st #206,1581 webster st,San Francisco,US,1581 Webster St,(415) 922-7765,2737.531735,pLZFRsn8HjVzcITHqa8Yfw,https://s3-media3.fl.yelpcdn.com/bphoto/F4pSzpI9YqroUFKMmSq_pA/o.jpg,FALSE,37.78518552,37.76089939,-122.4313409,-122.4364471,On the Bridge,14159227765,$$,3.5,1084,Moderate risk vermin infestation,CA,"SF Data Restaurant Scores.xlsx/Restaurant_Scores_-_LIVES_Stand,yelp_data_final.xlsx/yelp_data_final",Japanese Curry,340,pickup,https://www.yelp.com/biz/on-the-bridge-san-francisco?adjust_creative=GO4ydstg2mCycanD76Qkrw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GO4ydstg2mCycanD76Qkrw,94115,on the bridge,1581 Webster St #206,San Francisco,272,ON THE BRIDGE,14155927765,94115,CA,1,1,on the bridge,6/6/18,272_20180606,79,Routine - Unscheduled,Moderate Risk,1,Moderate risk vermin infestation,272_20180606_103131
101 Eddy St,punjab-kabab-house-san-francisco,indpak,,,Moderate Risk,101 eddy st,101 eddy st,San Francisco,US,101 Eddy St,(415) 447-7499,3531.241798,fb49tiO6Ax-D3E-mKJrH_w,https://s3-media1.fl.yelpcdn.com/bphoto/2NS8NPzOTEPpAuajvRvEzQ/o.jpg,FALSE,37.7843487,37.76089939,-122.4093534,-122.4364471,Punjab Kabab House,14154477499,$$,3.5,351,Foods not protected from contamination,CA,"SF Data Restaurant Scores.xlsx/Restaurant_Scores_-_LIVES_Stand,yelp_data_final.xlsx/yelp_data_final",Indian,12,pickup,https://www.yelp.com/biz/punjab-kabab-house-san-francisco?adjust_creative=GO4ydstg2mCycanD76Qkrw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GO4ydstg2mCycanD76Qkrw,94102,punjab kabab house,101 EDDY St,San Francisco,286,PUNJAB KABAB HOUSE,,94102,CA,1,1,punjab kabab house,2/20/19,286_20190220,83,Routine - Unscheduled,Moderate Risk,1,Foods not protected from contamination,286_20190220_103133
3340 Steiner St,bistro-aix-san-francisco,french,,,Low Risk,3340 steiner st,3340 steiner st,San Francisco,US,3340 Steiner St,(415) 202-0100,4375.725669,j1yOqKczaI4czwycWDcspw,https://s3-media2.fl.yelpcdn.com/bphoto/sNJrls-Rmry8KIgzoMIiLw/o.jpg,TRUE,37.80024,37.76089939,-122.43752,-122.4364471,Bistro Aix,14152020100,$$,4,667,Food safety certificate or food handler card not available,CA,"SF Data Restaurant Scores.xlsx/Restaurant_Scores_-_LIVES_Stand,yelp_data_final.xlsx/yelp_data_final",French,9,delivery,https://www.yelp.com/biz/bistro-aix-san-francisco?adjust_creative=GO4ydstg2mCycanD76Qkrw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GO4ydstg2mCycanD76Qkrw,94123,bistro aix,3340 STEINER St,San Francisco,290,BISTRO AIX,14155200100,94123,CA,1,1,bistro aix,3/20/18,290_20180320,98,Routine - Unscheduled,Low Risk,1,Food safety certificate or food handler card not available,290_20180320_103157
1441 Polk St,bamboo-restaurant-san-francisco-2,chinese,,,Low Risk,1441 polk st,1441 polk st,San Francisco,US,1441 Polk St,(415) 775-3679,3525.534626,j8Ih_-L9adYlmkh1nC-GCA,https://s3-media1.fl.yelpcdn.com/bphoto/s_DaqsIAgXe9gPMLajKW8A/o.jpg,FALSE,37.79003777,37.76089939,-122.4206342,-122.4364471,Bamboo Restaurant,14157753679,$$,3,437,Unclean or degraded floors walls or ceilings,CA,"SF Data Restaurant Scores.xlsx/Restaurant_Scores_-_LIVES_Stand,yelp_data_final.xlsx/yelp_data_final",Chinese,1100,pickup,https://www.yelp.com/biz/bamboo-restaurant-san-francisco-2?adjust_creative=GO4ydstg2mCycanD76Qkrw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GO4ydstg2mCycanD76Qkrw,94109,bamboo restaurant,1441 Polk St,San Francisco,298,Bamboo Restaurant,,94109,CA,1,1,bamboo restaurant,5/24/18,298_20180524,87,Routine - Unscheduled,Low Risk,1,Unclean or degraded floors walls or ceilings,298_20180524_103154
